date,hits
2019-12-09,5961557
2019-12-11,5982270
2019-12-12,5992780
2019-12-18,6048036
2019-12-19,6057119
2019-12-20,6066914
2019-12-21,6075557
2019-12-22,6081273
2019-12-23,6086955
2019-12-24,6092908
2020-01-02,6141908
2020-01-05,6161903
2020-01-06,6169193
2020-01-08,6186090
2020-01-09,6195742
2020-01-12,6220238
2020-01-14,6234376
2020-01-15,6242620
2020-01-26,6333169
2020-01-27,6339488
2020-01-29,6359623
2020-02-03,6404660
2020-02-29,6663932
2020-03-01,6664856
2020-03-02,6674865
2020-03-03,6685879
2020-03-04,6697524
2020-03-05,6709520
2020-03-06,6718113
2020-03-07,6724295
2020-03-08,6736170
2020-03-09,6746181
2020-03-10,6755364
2020-03-11,6767071
2020-03-12,6776662
2020-03-13,6785431
2020-03-14,6793821
2020-03-15,6800760
2020-03-16,6813781
2020-03-17,6842265
2020-03-18,6838951
2020-03-19,6860469
2020-03-20,6870146
2020-03-21,6869354
2020-03-22,6878292
2020-03-23,6887318
2020-03-24,6898762
2020-03-25,6910484
2020-03-26,6922780
2020-03-27,6932925
2020-03-28,6945157
2020-03-29,6955190
2020-03-30,6966304
2020-03-31,6978308
2020-04-01,6990626
2020-04-02,7003857
2020-04-03,7016317
2020-04-04,7023002
2020-04-05,7037847
2020-04-07,7060227
2020-04-08,7071133
2020-04-09,7082791
2020-04-10,7093507
2020-04-11,7104455
2020-04-12,7114692
2020-04-13,7126993
2020-04-14,7139729
2020-04-15,7160233
2020-04-16,7160550
2020-04-17,7183201
2020-04-18,7195499
2020-04-19,7205969
2020-04-20,7217882
2020-04-21,7220969
2020-04-22,7213627
2020-04-23,7253690
2020-04-25,7279237
2020-04-26,7291099
2020-04-27,7302430
2020-04-28,7307151
2020-04-29,7329209
2020-04-30,7342485
2020-05-01,7353849
2020-05-02,7366607
2020-05-03,7375972
2020-05-04,7387355
2020-05-05,7390814
2020-05-06,7396467
2020-05-07,7429577
2020-05-08,7423349
2020-05-09,7455338
2020-05-10,7484517
2020-05-11,7492968
2020-05-12,7508763
2020-05-13,7505517
2020-05-14,7544986
2020-05-15,7559189
2020-05-16,7570500
2020-05-17,7581967
2020-05-18,7594721
2020-05-19,7608388
2020-05-20,7622265
2020-05-21,7634638
2020-05-22,7647953
2020-05-23,7632636
2020-05-24,7669302
2020-05-25,7662777
2020-05-26,7691022
2020-05-27,7697597
